duckats_value,category,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,answer_text
40,Additives,Kwok disease results from overuse of,Artificial Coloring,Monosodium Glutamate,Sulfites,,B,"The symptoms of Kwok's disease are burning pains in the chest, dizziness and numbness. "
50,Additives,"Xantham gum, a thickener, emulsifier and stabilizer in dairy products, dressings and other foods, is made from",Artificial Ingredients,Glucose,Palm Oil,Potato Starch,B,
30,Baking,True or false? Baking at high altitudes requires more yeast or baking powder.  ,TRUE,FALSE,,,B,"It requires less yeast or baking powder. The higher the altitude, the lower the atmospheric pressure, which means that the carbon dioxide generated in baking encounters less resistance from the surrounding air."
30,Baking,True or false? Empanada is a type of stuffed-meat pastry.  ,TRUE,FALSE,,,A,"In Spain, empanadas are round and larger than the semicircular South American versions. "
30,Baking,True or false? Grissini are thin smoked sausages.   ,TRUE,FALSE,,,B,Grissini are Italian bread sticks. 
30,Baking,True or false? Pumpernickel bread is made with rye flour.   ,TRUE,FALSE,,,A,"Pumpernickel was originally made in Westphalia but is now made all over Germany. There are number of explanations for its unusual name, one of which translates into ""a coarse bread fit for a half-wit."
30,Baking,True or false? Stollen is a kind of German almond cookie.  ,TRUE,FALSE,,,B,Stollen is a German yeast bread made with dried fruit and topped with sugar icing and candied cherries. It is traditionally eaten at Christmas.
40,Baking,"Johnnycakes, ashcakes and battercakes are made with which of the following?",Buckwheat,Cornmeal,Whole Wheat,,B,"These are all regional names for cornmeal flatbread. The name ""ashcake"" comes from the cake being cooked over the ashes of a campfire."
40,Baking,A fleuron is a type of,Baby Carrot,Chocolate,Pastry,,C,A fleuron is a baked crescent-shaped pastry that is used as a garnish for seafood dishes in sauces. 
40,Baking,"In Italy, a pizza with onions, black olives and anchovies is known as",Ligurian,Margherita,Marinara,,A,
40,Baking,What is a panettone?,Bread,Cheese,Sauce,,A,A panettone is an Italian sweet yeast bread. It is a specialty of the city of Milan and is particularly popular at Christmas time.
40,Baking,Japanese bread crumbs used for coating fried foods are called,Gari,Kashi,Panko,,C,Panko crumbs are coarser than the bread crumbs usually used in the US and produce a crunchier crust. 
50,Baking,Baps is a type of bread from which country?,Denmark,Hungary,Scotland,Sweden,C,"Baps are small, soft-crusted loaves made from a dough of milk, butter, flour, yeast and salt. "
50,Baking,What is barmbrack?,Baked Bread,Beer,Fish,Stew,A,Barmbrack is a sweet yeast bread popular in Ireland; it is made with dried fruit and nuts and baked especially for celebrations. 
50,Baking,"Bloomer, Coburg and Rumpy all refer to ",Breads,Sausages,Cheeses,Lager Beers,A,These British breads differ in shape but are made with similar dough of white and/or whole wheat flour. 
50,Baking,"What are chapati, paratha and puri?",Breads,Fresh Cheeses,Spice Mixtures,Stews,A,
50,Baking,Which of the following is made with yeast?,Chapati,Focaccia,Matzo,Tortilla,B,The dough for focaccia is similar to pizza dough. The most popular and typical focaccia is topped with olive oil and herbs such as rosemary or sage.
50,Baking,Macaroon cookies traditionally contain which of the following?,Almonds,Hazelnuts,Pecans,Walnuts,A,"Macaroons are traditionally made with ground almonds or almond paste, although sometimes they are made with coconut. "
50,Baking,What is a madeleine?,A Portable Slicer,A Salad Of Edible Flowers,A Type Of Cake,An Ice Cream Scoop,C,"This light, spongy cake is often dipped in coffee or tea. Marcel Proust's epic novel In Search of Lost Time famously begins with the narrator contemplating a madeleine."
50,Baking,Which of the following is NOT a type of Indian bread?,Naan,Poori,Raita,Roti,C,"Raita is chilled yogurt seasoned with coriander, cumin, mint, cayenne pepper, caraway, and other herbs and spices. Vegetables such as cucumber and fruits like pineapple can also be added."
50,Baking,In what year was sliced bread introduced in the US?,1925,1930,1940,1945,err,Wonderbread made the first sliced white bread in the US. 
50,Baking,Zwieback is a,Type Of Bacon,Type Of Beer,Type Of Bread,Type Of Sausage,C,"This German word means ""twice baked. Zwieback is crisp and dry, slightly sweet and easily digested.."
30,Beer,True or false? All beer can age and improve under the proper conditions.  ,TRUE,FALSE,,,B,"Except for very rare cases, the shorter the period between brewery and glass, the fresher and better the beer will taste. "
30,Beer,True or false? Ale is darker and more bitter than lager beer.  ,TRUE,FALSE,,,A,
30,Beer,True or false? All beer can be classified as either an ale or a lager.  ,TRUE,FALSE,,,A,The difference depends on the type of yeast used in fermentation. 
30,Beer,True or false? Ales are brewed at room temperature and lagers are fermented at chilled temperatures. ,TRUE,FALSE,,,A,"Unlike lagers, ales can be fermented in just a few days. "
30,Beer,True or false? Beer should be served as cold as possible.  ,TRUE,FALSE,,,B,Very low temperatures inhibit the release of aromatics and carbon dioxide. 
30,Beer,True or false? Beer glasses should never be towel dried.  ,TRUE,FALSE,,,A,"Towels can leave lint and grease that, in turn, can adversely affect the head and flavor of beer. "
30,Beer,True or false? Hoegaarden is a Belgian white beer made from wheat. ,TRUE,FALSE,,,A,"Hoegaarden is a municipality in Flanders, Belgium. The beer that bears its name is an internationally popular wheat beer seasoned with orange and coriander."
30,Beer,True or false? Hops have always been used to flavor beer.  ,TRUE,FALSE,,,B,"Hop-influenced beers have been prevalent only in the last few centuries. Prior to that, herbs, spices, berries and some flowers were used in beer making."
30,Beer,True or false? Mead is an alcoholic beverage made from rice. ,TRUE,FALSE,,,B,Mead is a fermented beverage made with honey. It is an ancient drink and predates both grape wine and beer.
30,Beer,True or false? Beer in bottles should be stored in an upright position only.   ,TRUE,FALSE,,,A,"If stored upright, the beer does not contact the metal cap, which can impart a metallic flavor. "
30,Beer,True or false? Stout is a lighter version of porter beer.  ,TRUE,FALSE,,,B,"Both are dark, almost black, beers, and feature a heavily roasted flavor profile. "
30,Beer,True or false? Tinted beer bottles are better for storing beer than clear bottles.   ,TRUE,FALSE,,,A,Tinted beer bottles allow less damaging light in. Brown tinted bottles block slightly more light than green tinted bottles.
40,Beer,Which of the following is NOT a Dutch beer?,Amstel,Becks,Heineken,,B,"First brewed in Bremen, Germany, in 1873, Becks is the number one German export beer by volume and is sold in over 100 countries. "
40,Beer,Bitter accounts for what percentage of draft beer sales in English pubs?,45 Per Cent,65 Per Cent,80 Per Cent,,C,"Traditionally, bitter is unpasteurized and cask-conditioned in the pub cellar. It is highly hopped, dry and lightly carbonated."
50,Beer,In what year was beer first sold in cans?,1926,1935,1946,1958,err,"The American Can Company developed the can that was used by the Gottfried Krueger Brewing Company of Newark, New Jersey. "
50,Beer,Bock beer is usually available only in,Fall,Spring,Summer,Winter,B,"A bock is an earthenware or glass beer mug; the word ""bock"" also refers to the strong, dark and rich beer that fills up the mug. Bock beer can be traced back to the 14th century and the city of Einbeck, in Lower Saxony."
50,Beer,How many calories does an average bottle of beer contain?,80,100,130,150,err,The majority of those calories are derived from alcohol. 
50,Beer,"In German beer terminology, what does ""dunkel"" mean?",Bitter,Dark,Strong,Sweet,B,This Bavarian-style beer is rich and complex. 
50,Beer,Which of the following companies is the world's largest producer of beer?,Anheuser-Busch,Heineken,Inbev,Molson Coors  ,C,"This Belgium-based company's products include Stella Artois, Bass and Becks. "
50,Beer,Lambic refers to which of the following?,High Alcohol Content,Kind Of Yeast,Type Of Ale,Variety Of Hops,C,Lambic ale is unique because only natural yeasts in the atmosphere are used for fermentation; nothing is added by the brewer. 
50,Beer,"Pilsen beer is named after the town of Pilsen, which is located in",Austria,Czech Republic,Hungary,Poland,B,
50,Beer,"In Britain, wild yeast was referred to as which of the following?",Divine Dust,God Is Good,Heaven'S Touch,Invisible Hand,B,
30,Beverages,True or false? Over time carbonated beverages in plastic bottles contain less carbon dioxide than the same beverage in cans.  ,TRUE,FALSE,,,A,Plastic bottles are more carbon-dioxide permeable than aluminum cans. 
30,Beverages,True or false? One of Coca Cola's original ingredients was cocaine.  ,TRUE,FALSE,,,A,"The other key ingredient was the caffeine from the kola nut, hence the name Coca Cola. The cocaine was eliminated in 1903."
30,Beverages,True or false? Ginger ale has more carbonation than most other sodas.  ,TRUE,FALSE,,,A,Ginger ale contains almost twice as much carbonation as other sodas. 
30,Beverages,True or false? Grenadine syrup was originally made with pomegranate juice.  ,TRUE,FALSE,,,A,"Today grenadine contains vegetable matter, citric acid, and certain red fruits. "
30,Beverages,True or false? Tonic water is flavored with quinine.  ,TRUE,FALSE,,,A,"Quinine is a bitter crystalline alkoloid with fever-reducing, pain-relieving and anti-inflammatory qualities. "
40,Beverages,"A ""fifth"" refers to which size of bottle?",250 mL,500 mL,750 mL,,C,A fifth of a gallon is about 750 mL. 
40,beverages,Koumiss (or kumis) is a,Beverage,Bread,Cheese,,A,Koumiss is a fermented dairy product traditionally made from mare's milk. It is important in the culture of the peoples of the Central Asian steppes.
40,Beverages,"In the beverage industry, what does ""ullage"" refer to?",Airspace In The Bottle,Capacity Of The Glass,Shelf Life,,A,Ullage can also refer to the empty space in a barrel or cask. 
50,Beverages,Which of the following is NOT a brand of bitters?,Picon,Angostura,Cynar,Paccheri,D,Paccheri are large tube-shaped pasta. 
50,Beverages,Which country consumes the most cola drinks per capita?,Canada,Japan,Mexico,Usa,C,
50,Beverages,Cream soda is a soft drink flavored with,Almond,Peach,Strawberry,Vanilla,D,
30,Cocktails,True or false? Black Velvet is a drink made with equal portions of Guinness and brandy.  ,TRUE,FALSE,,,B,A Black Velvet is made with Guinness (or another stout) and champagne. 
30,Cocktails,True or false? A Daiquiri is a cocktail made with lime juice.  ,TRUE,FALSE,,,A,"Rum, sugar and sometimes fruit are also included. "
30,Cocktails,True or false? Raki is an alcoholic aperitif from Turkey. ,TRUE,FALSE,,,A,"Raki, this unofficial national drink of Turkey, is distilled and aromatized with anise. "
30,Cocktails,True or false? A Screwdriver cocktail is made with gin.   ,TRUE,FALSE,,,B,A Screwdriver contains vodka and orange juice. 
40,Cocktails,Caipirinha is the national cocktail of which country?,Brazil,Puerto Rico,South Africa,,A,"Caipirinha consists of lime, sugar and cachaça, which is made from fermented sugar cane and is the most popular distilled beverage in Brazil. "
40,Cocktails,"A Cosmopolitan cocktail is made with vodka, triple sec, lime juice and what other fruit juice?",Cranberry,Orange,Pineapple,,A,
40,Cocktails,"The cocktail known as French 75 is made with champagne, lemon juice, sugar and",Cognac,Crème De Cassis,Orange Liqueur,,A,French 75 is named after a World War I artillery piece. 
40,Cocktails,The cocktail Gin & It is made with gin and,Ginger Beer,Orange Liqueur,Sweet Vermouth,,C,The Gin & It was very popular during the 1940s. Later the sweet red vermouth was replaced by dry white vermouth. Today it is referred to as a Sweet Martini. 
40,Cocktails,"A Mai Tai cocktail is made with lime or orange juice, curaçao, orgeat syrup and",Gin,Rum,Vodka,,B,"Either dark or light rum goes into a Mai Tai. ""Maita'i"" is the Tahitian word for ""good."
40,Cocktails,"In what year did Victor Bergeron, known as Trader Vic, invent the Mai Tai cocktail?",1944,1958,1972,,err,"The modern recipe is 1 oz. each of golden rum, dark rum and Triple Sec, and 1/2 oz. each of lime juice and orgeat syrup. "
40,Cocktails,What is the proper garnish for a Manhattan?,Cherry,Lemon Twist,Olive,,A,
40,Cocktails,A Mimosa is a cocktail made with orange juice and,Brandy,Champagne,Vermouth,,B,
40,Cocktails,What whiskey is used to make a Mint Julep?,Bourbon,Rye,Scotch,,A,
40,Cocktails,Mojito and Caipirinha are popular cocktails that contain sugar and which combination of juice and spirit?,Lemon And Gin,Lime And Rum,Orange And Vodka,,B,Mojito is Cuban and Caipirinha is Brazilian. 
40,Cocktails,"A Rickey is a drink made with gin or whiskey, soda water and which juice?",Lime,Orange,Pineapple,,A,
40,Cocktails,"A Sidecar is a cocktail made with lemon juice, orange liqueur and",Bourbon,Brandy,Scotch,,B,Cognac is also used. The Sidecar is believed to have been invented around the end of World War I in either Paris or London.
40,Cocktails,A Stinger is a cocktail of brandy or Cognac and which of the following?,Crème De Menthe,Dry Vermouth,Grenadine,,A,
40,Cocktails,"A White Lady is a cocktail made with an orange-based liqueur, lemon juice and",Gin,Vodka,White Wine,,A,"Also called a Delilah, a White Lady can also include egg whites, sugar and cream. "
50,Cocktails,"A Harvey Wallbanger is a cocktail of vodka, orange juice and which liqueur?",Chartreuse,Cointreau,Drambuie,Galliano,D,
50,Cocktails,Kir is made with dry white wine and which of the following?,Armagnac,Crème De Cassis,Kirsch,Pernod,B,Aligoté is the classic white wine used. 
50,Cocktails,Pimm's Cup is garnished with which of the following?,Celery,Cherry,Cucumber,Olive,C,"This British drink typically consists of gin, fruit extracts, liqueurs and bitter herbs and is garnished with cucumber. "
30,Coffee_Tea,True or false? Chai tea is made with milk.  ,TRUE,FALSE,,,A,"Spices such as ginger, cloves, cinnamon and cardamom are also possible ingredients. "
30,Coffee_Tea,True or false? Coffee originated in Kenya.  ,TRUE,FALSE,,,B,Coffee originated in Ethiopia. 
30,Coffee_Tea,True or false? Colombia produces more coffee than any other country.  ,TRUE,FALSE,,,B,Brazil is the world's largest coffee producer. Colombia is second.
30,Coffee_Tea,True or false? Earl Grey tea is flavored with essence of rose.  ,TRUE,FALSE,,,B,The defining flavor of Earl Grey tea is oil of bergamot. 
30,Coffee_Tea,"True or false? In India, teas are defined by the region in which they are grown.  ",TRUE,FALSE,,,A,"Darjeeling, Assam and Orissa are all regions and types of tea. "
30,Coffee_Tea,"True or false? Indonesia's Celebes, Kalossi and Timor islands produce coffees noted for their dry, heavy bodies.",TRUE,FALSE,,,B,Coffees from these islands are mild and light bodied. 
30,Coffee_Tea,True or false? Hawaiian coffee plantations have the highest per acre yield of any place in the world.  ,TRUE,FALSE,,,A,Weather conditions for growing coffee in Hawaii are superb and there are very few disease threats. 
30,Coffee_Tea,True or false? Italians consume the most coffee per capita of any nationality in the world.  ,TRUE,FALSE,,,B,The Finns are first; they consume an average of just over 25 lb. (11.4 kg. ) of coffee per person per year. The US ranks 23rd and Canada is 25th.
30,Coffee_Tea,True or false? Robusta coffee trees produce more fruit than Arabica trees.   ,TRUE,FALSE,,,A,Many growers are replacing Arabica with Robusta for this reason. 
30,Coffee_Tea,True or false? Coffee and tea both contain tannins.   ,TRUE,FALSE,,,A,"Tannins are astringent, bitter plant polyphenols. They are found in many foods and drinks (including wine, tea, coffee), some herbs and spices, legumes and chocolate."
30,Coffee_Tea,"True or false? To make stronger tea, one should increase the amount of tea leaves, NOT the steeping period.   ",TRUE,FALSE,,,A,"Increasing the steeping period makes tea more bitter, because more bitter polyphenols are extracted from each leaf. "
50,Coffee_Tea,Antigua and Cobán are coffee varieties from which country?,Colombia,Costa Rica,Guatemala,Nicaragua,C,Both are full-bodied coffees with a spicy flavor. 
50,Coffee_Tea,Where does Blue Mountain coffee come from?,Costa Rica,Jamaica,Kenya,Venezuela,B,"Blue Mountain coffee is famous for its excellent flavor and lack of bitterness, and is considered by many to be one of the best coffees in the world. "
50,Coffee_Tea,Butter tea is popular in which of the following countries?,India,Korea,Pakistan,Tibet,D,"Butter tea is made with tea leaves, yak butter and salt. "
50,Coffee_Tea,Which country's coffee drinkers consume the most coffee per person?,Brazil,Finland,Indonesia,Italy,B,"Finns consume about 25 pounds (11. 4 kg) of coffee per person per year. The USA is in 23rd place, at 9. 2 pounds (4. 2 kg)."
50,Coffee_Tea,Crema is associated with,Cheese,Coffee,Ice Cream,Pastry Filling,B,"In espresso coffee, crema is the thin golden-brown froth created by the emulsion of coffee oils during high-pressure extraction. "
50,Coffee_Tea,Which of the following has the least adverse effect on ground or whole bean coffee?,Air,Heat,Light,Moisture,C,
